hypothesis,day,wave_count_mean,wave_count_std,target_entropy_mean,target_entropy_std,emergent_target_ratio_mean,emergent_target_ratio_std,regional_variance_mean,regional_variance_std,connected_cells_mean,connected_cells_std,total_missiles_remaining_mean,total_missiles_remaining_std
H1,0,47.16,5.0452,1.6693,0.139,0.0,0.0,8.8832,4.6059,85.0,0.0,1658.24,32.3274
H1,1,47.44,5.3298,1.8428,0.1976,0.0517,0.0271,8.8336,4.5103,85.0,0.0,1610.8,33.1626
H1,2,46.46,3.5956,1.8675,0.1651,0.0513,0.029,8.6336,4.1271,85.0,0.0,1564.34,34.3387
H1,3,47.14,3.8419,2.6638,0.1727,0.199,0.0542,7.9264,4.8864,67.0,0.0,1517.2,34.6508
H1,4,47.16,4.2349,3.0317,0.1468,0.1348,0.0417,8.2165,4.3643,47.0,0.0,1470.04,34.9371
H1,5,47.52,3.629,3.2282,0.1151,0.0715,0.0334,8.6272,3.9376,25.0,0.0,1422.52,35.4786
H1,6,46.46,3.976,3.2467,0.1165,0.0738,0.0367,8.3104,4.0357,25.0,0.0,1376.06,35.2837
H1,7,47.82,4.2128,3.2277,0.1187,0.0705,0.0342,8.784,4.7509,25.0,0.0,1328.24,35.0797
H1,8,46.84,5.4822,3.2145,0.1011,0.0609,0.0311,7.6864,3.5471,25.0,0.0,1281.4,36.3368
H1,9,46.3,4.9769,3.2265,0.1209,0.0654,0.0277,9.1456,5.1568,25.0,0.0,1235.1,36.5175
H1,10,47.64,4.6979,3.2481,0.1186,0.0314,0.0263,8.9104,4.5937,10.0,0.0,1187.46,36.8935
H1,11,46.88,4.5766,3.2516,0.0955,0.032,0.0222,8.9088,4.1367,10.0,0.0,1140.58,36.6137
H1,12,47.72,4.6906,3.2482,0.1187,0.0295,0.0226,8.704,4.8683,10.0,0.0,1092.86,37.1936
H1,13,47.42,5.4003,3.2518,0.1027,0.029,0.0249,9.5872,4.953,10.0,0.0,1045.44,36.9059
H1,14,46.48,5.1701,3.1695,0.0751,0.0,0.0,8.8832,5.0375,0.0,0.0,998.96,36.0821
H1,15,47.06,4.5669,3.1741,0.0664,0.0,0.0,8.776,4.7161,0.0,0.0,951.9,37.1054
H1,16,46.18,4.2175,3.1844,0.0748,0.0,0.0,8.8208,4.8767,0.0,0.0,871.62,35.1647
H1,17,41.64,4.4396,3.1419,0.0812,0.0,0.0,5.696,4.0999,0.0,0.0,787.64,32.198
H1,18,41.7,4.337,3.1455,0.0851,0.0,0.0,5.576,3.3887,0.0,0.0,704.52,32.7373
H1,19,39.36,4.6551,3.1613,0.0722,0.0,0.0,6.4128,2.787,0.0,0.0,645.54,32.0189
H1,20,37.48,4.5,3.143,0.0801,0.0,0.0,6.256,3.972,0.0,0.0,582.58,30.5084
H1,21,36.78,4.3141,3.1418,0.0766,0.0,0.0,5.4688,2.9209,0.0,0.0,528.66,29.4398
H1,22,34.98,3.9623,3.1298,0.0826,0.0,0.0,5.192,2.6917,0.0,0.0,478.04,30.4782
H1,23,34.72,3.8107,3.1285,0.1015,0.0,0.0,5.36,3.2335,0.0,0.0,443.32,31.0132
H1,24,33.1,3.8846,3.1021,0.0952,0.0,0.0,5.072,2.8988,0.0,0.0,410.22,29.7236
H1,25,31.12,4.0182,3.1022,0.1162,0.0,0.0,4.08,2.1516,0.0,0.0,359.74,29.2703
H1,26,28.98,3.7496,3.0589,0.1401,0.0,0.0,4.288,3.0599,0.0,0.0,330.76,28.8018
H1,27,26.06,3.6955,3.0334,0.1254,0.0,0.0,4.0617,2.6119,0.0,0.0,304.7,27.4585
H1,28,23.68,3.5011,2.9905,0.1616,0.0,0.0,2.992,2.1285,0.0,0.0,265.34,24.5859
H1,29,20.52,4.3092,2.9192,0.2016,0.0,0.0,2.7022,1.646,0.0,0.0,244.82,24.9421
H1,30,18.58,3.2563,2.8972,0.2104,0.0,0.0,1.9673,1.2869,0.0,0.0,214.34,24.4177
H1,31,16.12,3.0636,2.8448,0.2047,0.0,0.0,1.8762,1.1987,0.0,0.0,198.22,24.134
H1,32,14.76,3.1341,2.8217,0.2322,0.0,0.0,1.7975,1.1761,0.0,0.0,183.46,23.263
H1,33,11.56,2.7215,2.6929,0.2432,0.0,0.0,1.3222,1.0014,0.0,0.0,161.9,21.7221
H1,34,10.26,2.3817,2.5979,0.3207,0.0,0.0,0.971,0.7325,0.0,0.0,151.64,21.6506
H1,35,9.48,2.7513,2.4123,0.396,0.0,0.0,1.0001,0.7122,0.0,0.0,142.16,21.2305
H1,36,7.36,2.3131,2.3111,0.4015,0.0,0.0,0.6059,0.483,0.0,0.0,127.18,19.26
H1,37,5.68,2.2929,1.8922,0.641,0.0,0.0,0.5497,0.6484,0.0,0.0,121.5,18.7438
H1,38,5.68,2.2578,1.9894,0.5876,0.0,0.0,0.5697,0.549,0.0,0.0,115.82,18.0208
H1,39,4.76,2.2321,1.7936,0.6462,0.0,0.0,0.338,0.4075,0.0,0.0,111.06,18.3798
H1,40,3.96,1.9896,1.4979,0.7125,0.0,0.0,0.2264,0.3159,0.0,0.0,103.34,17.2923
H1,41,3.94,2.1015,1.4766,0.8178,0.0,0.0,0.1993,0.2599,0.0,0.0,99.4,16.5819
H1,42,3.7,1.8466,1.4214,0.6632,0.0,0.0,0.264,0.4364,0.0,0.0,90.94,14.9364
H1,43,3.54,1.9617,1.4578,0.6713,0.0,0.0,0.1873,0.3522,0.0,0.0,87.4,14.6615
H1,44,2.9,1.1533,1.1689,0.6246,0.0,0.0,0.1236,0.2276,0.0,0.0,84.5,14.9013
H1,45,3.56,1.4719,1.5157,0.5421,0.0,0.0,0.2122,0.3552,0.0,0.0,75.74,13.73
H1,46,3.08,1.5341,1.244,0.6919,0.0,0.0,0.1874,0.371,0.0,0.0,72.66,13.7341
H1,47,2.84,1.6536,1.0884,0.73,0.0,0.0,0.0724,0.1464,0.0,0.0,69.82,13.3427
H1,48,2.88,1.6449,1.1372,0.7868,0.0,0.0,0.1461,0.257,0.0,0.0,62.46,13.5517
H1,49,2.4,1.4142,0.9024,0.7732,0.0,0.0,0.0757,0.1522,0.0,0.0,60.06,13.4527
H1,50,2.42,1.5112,0.8213,0.7804,0.0,0.0,0.1126,0.216,0.0,0.0,54.32,12.553
H1,51,2.06,1.4479,0.8144,0.7152,0.0,0.0,0.0547,0.098,0.0,0.0,52.26,12.39
H1,52,2.5,1.7349,0.9209,0.8544,0.0,0.0,0.1042,0.332,0.0,0.0,49.76,12.4941
H1,53,2.1,1.4731,0.8236,0.7911,0.0,0.0,0.1132,0.2364,0.0,0.0,47.66,12.4412
H1,54,2.02,1.14,0.8338,0.6841,0.0,0.0,0.0415,0.089,0.0,0.0,45.64,12.3252
