profile,rationing,phase,comparison,n_a,n_b,cohens_d,rank_biserial_r,z,p,significant_at_0.05
v1_original,coordinated,early,H1_vs_H2,500,500,0.7515,0.356,9.7446,0.0,True
v1_original,coordinated,early,H1_vs_H3,500,500,0.3566,0.1565,4.2841,1.8e-05,True
v1_original,coordinated,early,H2_vs_H3,500,500,0.5449,0.218,-5.9672,0.0,True
v1_original,coordinated,mid,H1_vs_H2,750,750,0.3913,0.1013,3.3977,0.00068,True
v1_original,coordinated,mid,H1_vs_H3,750,750,0.1116,0.0379,1.2707,0.203822,False
v1_original,coordinated,mid,H2_vs_H3,750,750,0.3169,0.0627,-2.1012,0.035623,True
v1_original,coordinated,late,H1_vs_H2,750,750,0.2281,0.032,1.073,0.283291,False
v1_original,coordinated,late,H1_vs_H3,750,750,0.0729,0.0095,0.3185,0.750114,False
v1_original,coordinated,late,H2_vs_H3,750,750,0.1815,0.0227,-0.76,0.447249,False
v1_original,individual,early,H1_vs_H2,500,500,1.0058,0.458,12.5366,0.0,True
v1_original,individual,early,H1_vs_H3,500,500,0.2626,0.1095,2.9986,0.002712,True
v1_original,individual,early,H2_vs_H3,500,500,0.8813,0.386,-10.5658,0.0,True
v1_original,individual,mid,H1_vs_H2,750,750,0.6393,0.2,6.706,0.0,True
v1_original,individual,mid,H1_vs_H3,750,750,0.2257,0.0826,2.7686,0.005629,True
v1_original,individual,mid,H2_vs_H3,750,750,0.4788,0.12,-4.0236,5.7e-05,True
v1_original,individual,late,H1_vs_H2,750,750,0.2955,0.064,2.1459,0.03188,True
v1_original,individual,late,H1_vs_H3,750,750,0.0706,0.0199,0.6684,0.503884,False
v1_original,individual,late,H2_vs_H3,750,750,0.2449,0.044,-1.4753,0.140128,False
v1_original,off,early,H1_vs_H2,500,500,1.0773,0.504,13.7957,0.0,True
v1_original,off,early,H1_vs_H3,500,500,0.1764,0.0813,2.2257,0.026034,True
v1_original,off,early,H2_vs_H3,500,500,0.9809,0.45,-12.3176,0.0,True
v1_original,off,mid,H1_vs_H2,750,750,0.6792,0.2213,7.4213,0.0,True
