profile,rationing,phase,comparison,n_a,n_b,cohens_d,rank_biserial_r,z,p,significant_at_0.05
v1_original,coordinated,early,H1_vs_H2,500,500,0.0183,0.0046,-0.1247,0.900754,False
v1_original,coordinated,early,H1_vs_H3,500,500,0.0016,0.0052,-0.1431,0.886209,False
v1_original,coordinated,early,H2_vs_H3,500,500,0.0168,0.0008,0.022,0.982442,False
v1_original,coordinated,mid,H1_vs_H2,750,750,0.0185,0.0238,-0.7994,0.424087,False
v1_original,coordinated,mid,H1_vs_H3,750,750,0.0299,0.0205,-0.6862,0.492578,False
v1_original,coordinated,mid,H2_vs_H3,750,750,0.0122,0.003,0.1011,0.919474,False
v1_original,coordinated,late,H1_vs_H2,750,750,0.0885,0.0445,1.4936,0.135277,False
v1_original,coordinated,late,H1_vs_H3,750,750,0.0163,0.0093,0.3121,0.755002,False
v1_original,coordinated,late,H2_vs_H3,750,750,0.0715,0.0354,-1.1862,0.235539,False
v1_original,individual,early,H1_vs_H2,500,500,0.0022,0.0143,-0.3908,0.695968,False
v1_original,individual,early,H1_vs_H3,500,500,0.0047,0.0155,-0.425,0.670808,False
v1_original,individual,early,H2_vs_H3,500,500,0.007,0.0012,-0.0319,0.974582,False
v1_original,individual,mid,H1_vs_H2,750,750,0.0126,0.0125,-0.4189,0.675268,False
v1_original,individual,mid,H1_vs_H3,750,750,0.0006,0.0011,0.0381,0.969616,False
v1_original,individual,mid,H2_vs_H3,750,750,0.0116,0.0127,0.4255,0.670482,False
v1_original,individual,late,H1_vs_H2,750,750,0.0039,0.0051,0.1699,0.865054,False
v1_original,individual,late,H1_vs_H3,750,750,0.0423,0.0182,0.6117,0.540734,False
v1_original,individual,late,H2_vs_H3,750,750,0.0384,0.0125,0.4189,0.675311,False
v1_original,off,early,H1_vs_H2,500,500,0.0145,0.0107,-0.2935,0.769108,False
v1_original,off,early,H1_vs_H3,500,500,0.0061,0.0109,-0.2995,0.764593,False
v1_original,off,early,H2_vs_H3,500,500,0.0085,0.0008,0.0227,0.981918,False
v1_original,off,mid,H1_vs_H2,750,750,0.0309,0.017,-0.5696,0.568936,False
v1_original,off,mid,H1_vs_H3,750,750,0.0342,0.026,0.873,0.382648,False
v1_original,off,mid,H2_vs_H3,750,750,0.0644,0.0434,1.4565,0.145261,False
v1_original,off,late,H1_vs_H2,750,750,0.057,0.0272,-0.9105,0.362548,False
v1_original,off,late,H1_vs_H3,750,750,0.0516,0.0224,-0.7518,0.452145,False
v1_original,off,late,H2_vs_H3,750,750,0.0053,0.005,0.1683,0.86632,False
v1_original,v1,early,H1_vs_H2,500,500,0.0056,0.0075,0.2045,0.837942,False
v1_original,v1,early,H1_vs_H3,500,500,0.0345,0.0317,0.8686,0.385076,False
v1_original,v1,early,H2_vs_H3,500,500,0.0289,0.0238,0.6526,0.514041,False
v1_original,v1,mid,H1_vs_H2,750,750,0.044,0.0257,-0.8634,0.387933,False
v1_original,v1,mid,H1_vs_H3,750,750,0.077,0.0448,-1.5018,0.133154,False
v1_original,v1,mid,H2_vs_H3,750,750,0.0324,0.0189,-0.6326,0.527017,False
v1_original,v1,late,H1_vs_H2,750,750,0.0923,0.0529,1.7736,0.07613,False
v1_original,v1,late,H1_vs_H3,750,750,0.0608,0.0376,1.2606,0.207452,False
v1_original,v1,late,H2_vs_H3,750,750,0.0306,0.0153,-0.5124,0.608374,False
v3_front_loaded,coordinated,early,H1_vs_H2,500,500,0.0191,0.0183,-0.5007,0.616585,False
v3_front_loaded,coordinated,early,H1_vs_H3,500,500,0.0059,0.0171,-0.4671,0.64044,False
v3_front_loaded,coordinated,early,H2_vs_H3,500,500,0.0136,0.0034,0.0937,0.925329,False
v3_front_loaded,coordinated,mid,H1_vs_H2,750,750,0.0004,0.0019,0.0647,0.948432,False
v3_front_loaded,coordinated,mid,H1_vs_H3,750,750,0.0554,0.0285,0.9542,0.339975,False
v3_front_loaded,coordinated,mid,H2_vs_H3,750,750,0.0567,0.0264,0.8845,0.376409,False
v3_front_loaded,coordinated,late,H1_vs_H2,750,750,0.0211,0.0165,0.5532,0.580148,False
v3_front_loaded,coordinated,late,H1_vs_H3,750,750,0.0171,0.0109,-0.3656,0.714679,False
v3_front_loaded,coordinated,late,H2_vs_H3,750,750,0.0378,0.0255,-0.8566,0.391646,False
v3_front_loaded,individual,early,H1_vs_H2,500,500,0.0112,0.0081,0.2219,0.824364,False
v3_front_loaded,individual,early,H1_vs_H3,500,500,0.0482,0.0237,0.65,0.515666,False
v3_front_loaded,individual,early,H2_vs_H3,500,500,0.0368,0.0159,0.4342,0.664117,False
v3_front_loaded,individual,mid,H1_vs_H2,750,750,0.0265,0.0133,0.4447,0.656508,False
v3_front_loaded,individual,mid,H1_vs_H3,750,750,0.0575,0.0314,-1.0515,0.293031,False
v3_front_loaded,individual,mid,H2_vs_H3,750,750,0.0872,0.0458,-1.5361,0.12451,False
v3_front_loaded,individual,late,H1_vs_H2,750,750,0.0101,0.0178,-0.5957,0.551357,False
v3_front_loaded,individual,late,H1_vs_H3,750,750,0.029,0.0262,-0.8772,0.380378,False
v3_front_loaded,individual,late,H2_vs_H3,750,750,0.0194,0.0084,-0.2827,0.777434,False
v3_front_loaded,off,early,H1_vs_H2,500,500,0.0007,0.0016,0.0448,0.964282,False
v3_front_loaded,off,early,H1_vs_H3,500,500,0.0069,0.0058,-0.159,0.873685,False
v3_front_loaded,off,early,H2_vs_H3,500,500,0.0075,0.008,-0.2185,0.827007,False
v3_front_loaded,off,mid,H1_vs_H2,750,750,0.0628,0.0372,1.2477,0.212131,False
v3_front_loaded,off,mid,H1_vs_H3,750,750,0.0584,0.034,1.1409,0.253908,False
v3_front_loaded,off,mid,H2_vs_H3,750,750,0.0051,0.0051,-0.1698,0.865148,False
v3_front_loaded,off,late,H1_vs_H2,750,750,0.0308,0.0189,0.6352,0.525305,False
v3_front_loaded,off,late,H1_vs_H3,750,750,0.0163,0.004,0.1352,0.89246,False
v3_front_loaded,off,late,H2_vs_H3,750,750,0.0152,0.0147,-0.4931,0.621912,False
v3_plateau_high,coordinated,early,H1_vs_H2,500,500,0.0058,0.0044,-0.1211,0.903615,False
v3_plateau_high,coordinated,early,H1_vs_H3,500,500,0.0089,0.0017,0.0458,0.963496,False
v3_plateau_high,coordinated,early,H2_vs_H3,500,500,0.0031,0.0049,0.1329,0.894256,False
v3_plateau_high,coordinated,mid,H1_vs_H2,750,750,0.1137,0.0639,-2.141,0.032277,True
v3_plateau_high,coordinated,mid,H1_vs_H3,750,750,0.007,0.0039,-0.1316,0.895288,False
v3_plateau_high,coordinated,mid,H2_vs_H3,750,750,0.1087,0.0615,2.0634,0.039079,True
v3_plateau_high,coordinated,late,H1_vs_H2,750,750,0.0133,0.0048,0.1609,0.872138,False
v3_plateau_high,coordinated,late,H1_vs_H3,750,750,0.0418,0.0187,-0.6274,0.530371,False
v3_plateau_high,coordinated,late,H2_vs_H3,750,750,0.0541,0.0232,-0.7794,0.435719,False
v3_plateau_high,individual,early,H1_vs_H2,500,500,0.0491,0.0302,-0.8262,0.408685,False
v3_plateau_high,individual,early,H1_vs_H3,500,500,0.0077,0.0034,0.0922,0.926547,False
v3_plateau_high,individual,early,H2_vs_H3,500,500,0.0404,0.0318,0.8709,0.383819,False
v3_plateau_high,individual,mid,H1_vs_H2,750,750,0.0004,0.0095,0.3174,0.750973,False
v3_plateau_high,individual,mid,H1_vs_H3,750,750,0.0458,0.032,1.0716,0.28388,False
v3_plateau_high,individual,mid,H2_vs_H3,750,750,0.0465,0.024,0.8036,0.421603,False
v3_plateau_high,individual,late,H1_vs_H2,750,750,0.1197,0.0718,2.407,0.016084,True
v3_plateau_high,individual,late,H1_vs_H3,750,750,0.0096,0.0105,0.3528,0.724266,False
v3_plateau_high,individual,late,H2_vs_H3,750,750,0.1071,0.0608,-2.0377,0.041584,True
v3_plateau_high,off,early,H1_vs_H2,500,500,0.0321,0.0186,0.5089,0.610816,False
v3_plateau_high,off,early,H1_vs_H3,500,500,0.0106,0.0145,0.3959,0.692168,False
v3_plateau_high,off,early,H2_vs_H3,500,500,0.021,0.0034,-0.0942,0.924981,False
v3_plateau_high,off,mid,H1_vs_H2,750,750,0.111,0.0569,1.9067,0.056559,False
v3_plateau_high,off,mid,H1_vs_H3,750,750,0.0393,0.0125,0.4188,0.675355,False
v3_plateau_high,off,mid,H2_vs_H3,750,750,0.0717,0.044,-1.477,0.13968,False
v3_plateau_high,off,late,H1_vs_H2,750,750,0.0098,0.0085,-0.2842,0.776292,False
